label,x_train
positive,Can't wait to go to Colts game with my sweetness tonight.
neutral,Wah... E queue damn long to buy laptops... U goin to buy soon? Beta hurry cos e offer will open to e whole nus tmr onwards...
negative,@Raiders_Spurs Reggie isn't interested in dealing picks like the old regime.  Can't see him parting with anything other than a 6th or 7th
neutral,"PEREIRA, COLOMBIA - AUGUST 06:  Players of Nigeria walk down the tunnel during the Group D match bet: PEREIRA, C... http://bit.ly/ppNV7J"
positive,Come out and support #RecapO tomorrow at #SilentNight on 113th and King Dr. from 4-8:30pm!!!!!!! Be the change you want to see.
positive,"Wait, they (MYSA) actually have a pretty good record at the 2nd largest tournament... the Norway Cup. http://t.co/XVcgXg99"
neutral,@WestHamJoe again it was a thurs watching Nadal game and tried to type ffs...
positive,Wifey &amp; Princess are going up to Granda's for thanksgiving today. I go Sunday. I think I'll watch Goon!
positive,First the Superbowl now Revel will finally be released on DVD on Nov 24th! My day is complete!!!! Oh how I love my Bey
neutral,"#FX NEW YORK, Oct 18 (Reuters) - The Federal Reserve provided $4.701 billion of liquidity to the ... http://t.co/BJhIQTtO #EUR #AUD #CAD"
negative,"RT @danspeerin: Really hoping tonite Lloyd Robertson will ask us to goto the window and yell ""I'm mad as hell and I'm not going to take  ..."
positive,http://t.co/5Wbymtv - How true. Think it's time for another Deus Ex playthrough before DX3 is released Friday week.
neutral,Dunno leh.. What you think?
neutral,Eh hon wai here. Take note of my number u lout
positive,Niggas In Paris was playing in the waiting room at the clinic and this old lady sat tapping her walking stick and bobbing her head. So cute.
positive,Watching Die Hard for the 1st time with @linpel &amp; @lettersfromgena. Alan Rickman makes this better than it already was.
positive,"@manishtas @DougRouxel @AdamRamsay That is an excellent suggestion, I'll bring it to the other eds. Am I right in thinking IWD is March 8th?"
neutral,@OwlCityCharlie: may iPad HD na pala? I don't even know what this says. But I'm tweeting it anyways cause it says iPad.
neutral,Friday nite after the DWC reading raided Sound Garden...3 DVDs &amp; a CD 4 $20! Cruising home 2 Raphael Sadiq. Friday note in CNY.
neutral,Is it Friday yet?  The Capital Home and Garden Show starts this Friday!  Come see us at Booth #535 http://t.co/Ue1lN6Z5
positive,@sum_loser just wait till we're getting classy with wine on saturday!!
neutral,May aswell wear my new Batman tshirt and watch Nolan's trilogy tonight
negative,Rudd rains on Abbott's parade: KEVIN Rudd may be trying to spoil Julia Gillard's party but yesterday he gate-cra... http://t.co/h8wJi814
positive,Excited for tomorrow's Photo Session with Indhi fashion design studio at TheLoniousStudios http://t.co/TkcVagnS
positive,My Sunday nights haven't been the same since @lazofficial has been gone from Breakout Kings. I wonder what he's doing next? Can't wait 2 c!
positive,The safest place to be in Tottenham tonight is the Spurs trophy cabinet. There's no chance of looters visiting there. #gooners #goonerpower
neutral,Please join LPG and Good Start Genetics for a legal town hall cocktail reception Monday @ 7 pm at the Marriott Marquis Mission Hills Room.
positive,"Positive thinking ... after the win today Newcastle Utd are only 3 points off 5th position and 5 points off 3rd spot, bring on a surge #Toon"
positive,I'll be rooting for Penn State tomorrow...even tho THEY MURDERED JOE PA FOR SOMETHING HE DIDN'T DO! the new coach &amp; kids deserve that
positive,Thank you to everyone who joined us on the bus on Saturday and all the other Lions supporters at Loftus. It was awesome seeing Loftus RED!
positive,@musicregistry Great!! My panel will take place the 20th around 10.30 am. It is about free tools with Deezer and Bandpage.
neutral,"The Announcement! August 24th and 25th, The All Star Monster Truck Tour invades the Garland County Fairgrounds in... http://t.co/jUhzIg02"
negative,"Monta Ellis commits his 1st foul! He's cold with 2 missed FTs, a foul and a miss to start Q3. #Bucks trail #Bulls 70-60, mid Q3."
neutral,End of 2nd 3-2 Predators ... Preds will be short handed to start the 3rd.
neutral,Tomorrow Venus will transit the sun for the last time for the next 105 years. Forecast - #weatherbomb
negative,Cba with work tomorrow! #Boring #Blag
neutral,"[PAGASA] 6:39AM Intermittent light to occasionally moderate rains over southern portions of Negros, Cebu &amp; Bohol may persist for the next..."
positive,"TONITE on Sunday = Sound Day! 21.30 at Lap.Oremti Arco raya, Parung. Dont miss it lads, see you soon!"
positive,Jungle Island makes good on $2 million payment: Jungle Island made good Wednesday on its promise to the Miami City... http://t.co/WiOCjD7F
neutral,"France: Friday was last day to exchange the obsolete Franc for Euro, Banque de France said   - Breaking News Buzz http://t.co/h6Ui3Db2"
neutral,Kaka committed to Real Madrid: He may have been on the periphery of the Real Madrid squad since Jose Mourinho took... http://t.co/zRs9BDlB
neutral,"Well that's it, the very last one. That may stop you. - The Lorax"
neutral,"On Sunday watch Sarah G Live, one of Myrtle`s dream will come true - together with Melai, @MyrtleGail  will have a song number with Sarah G."
neutral,"To all my Shapeshifter teammates, family and friends travelling back from Hawaii today tonight and tomorrow, Safe travels!"
neutral,"Review : black friday 2012 AmPro T19701 6 LED Flashlight with Magnetic Pick-up Tool:  Find, shop, See Reviews , ... http://t.co/4ANVMzLo"
positive,"Beloved, don't worry about tomorrow! Wake up every morning conscious of Jesus' supply. Joseph Prince"
positive,Another tough win for us today! Never been in the semi's in BNP Paribas Open! Next match on Thursday :-)
positive,Listening to @andrewripp on my iPad while cleaning the house tonight.  All I want to do is sing & dance around.  Great tunes!  :)
neutral,We're going to be here tomorrow - have lots to swap! London Children's Book Swap http://t.co/7oiwwcN3 via @southbankcentre
neutral,I ask already. She say she not going so early cos she no car. Then ryan also duno coming or not. Xf not coming. I duno abt ron.
positive,and the biggest surprise of the Tuesday Decs is as many as 19 taking on Quevega in the Mares Hurdle!
neutral,We got tickets for the Late Show with David Letterman which will air tonight!  Look for us in the 3rd row.  Billy Crystal is the guest.
neutral,John Henson may have left UNC but he hasn't stopped posterizing dookies http://t.co/f8JmKWA3
neutral,choose a colour... Just some silly test la...
positive,Who wants a love like Johnny and June? I want a love like Blake and Miranda. #LoveThem #Obsessed
negative,Cofield should have hopped off the DM sticks after his 3rd year. Niggas was tired of him lol
positive,"@SCLARKE77 cool beans :) try and let me know by the end of the day! 7pm, fri 22nd at moomba :)"
neutral,iknowushould2 will be at the Tom Joyner Health Festival @ the Liacouras Center tomorrow come out for freebies! @EStevenCollins @PhillyFIGHT
neutral,@rajan_sr17 Is there a screening tomorrow for the Capitol one fixture?
neutral,"In here on Beasts of the Southern Wild, The Campaign, Resident Evil: Retribution, Warners' Crime Does Not Pay DVDs: http://t.co/45zhWWso"
negative,@NiallOfficial AUSTRALIAN DIRECTIONERS just had a heart attack. the news said that you boys were back here in Oct/Nov :-( #nottrue ? x
negative,A 5th grader just told me she got ISS today when I asked her why he told me that she told her teacher that she had a big butt...
positive,Ricky Ponting says he's in the best shap of his life and is ready to take on ... - Herald Sun http://t.co/BuIbQZb2
positive,We should donate it to ARSENAL.. they aint winning anythng! RT @pritypinkyy: 19th COMMUNITY SHIELD(yeah still silverware)
neutral,"@FreddieFans You sure it was Quo? They were the first act on, Queen weren't 2nd I'm sure of it"
negative,@gianicos @mikejefferiesl4 That's like blaming Rafa for the season we finished 7th while ignoring the negative impact of Cecil and H&amp;G!
neutral,Eh joan... I go and get frm u at 3 plus ah... U at home rite...
neutral,@tobias31 Tomorrow night if u in Milwaukee stop thru Club Pulse and check us out... Across the street from the Bradley Center
neutral,milkily handsome in the manner of a cinematically doomed first world war infantryman: @barneyronay on Michael Clarke http://t.co/YjzCCNjb
negative,"I never watch the Oscars, but with Seth MacFarlane hosting, I may have to actively campaign to get other people to not watch them either."
neutral,#hulu Video Game Trailers - Launch Trailer: Check out the launch trailer for Mass Effect 3. Added: Fri Oct 26 00... http://t.co/XsbCPkVe
neutral,"At the Vitali Klitschko party UDAR meeting in Odessa, near Potemkin Stairs. 27 Sep 2012 http://t.co/3KvctdY8"
neutral,"India is the 132nd country out of 185 countries in the world to do business easily, by World Bank! Singapore is the 1st and 4th is USA!"
negative,@WritersBlock__ we was on the move today. That MTA was not sexy though. Whippington is needed
positive,Really enjoyed PJ Harvey tonight - contrary to expectations. Even the black feather head-dress wasn't too OTT.
positive,"Tressa and libby are here but we split up today and we will meet up tomorrow night.I like it here, its alot like Minnesota."
neutral,"Chuck Close shares his best-kept secrets with @vogueitalia on the eve of his new show, opening Thursday @PaceGallery  http://t.co/GfgL17wj"
neutral,idk if I should see the movie with Jennifer Lawrence or Paranormal activity 4 on Saturday.
neutral,Just watched the Haye - Chisora fight from Saturday night. Haye smashed it. #boxing
neutral,"@PsychoSix-Smoker Beohner ""got 98% of what he wanted.""  Fact: Dow down 634 today and Boehner OWNS every point. #p2 #fok #maddow #teaparty"
positive,He said i look pretty wif long hair wat. But i thk he\u2019s cutting quite short 4 me leh.
positive,Has just won two tickets to evanescence on Monday boom! Thanks @CapitalFMArena
neutral,"@johnmuttimer retweet pls: West-End Star Michael Ball with Cork Youth Orchestra, Dec 8th &amp; 9th, City Hall. Tickets from Ticketmaster.ie"
neutral,@BornIn_ASIA no because asia told me it was the 14th and now its to late .
neutral,"1st game played under Solar Powered floodlights in the world happened in MYSA,Nairobi Kenya. #PhilipsLED"
positive,"Mommy brought me some red velvet cupcakes! And im gonna play football tomorrow morning with daddy, bella, and jarvey! Yayy family."
neutral,"Sir Terry Leahy, the man behind Tesco's success, is speaking at @oaklandscollege in WGC tomorrow: http://t.co/2Q13efsz"
negative,Don't be surprised if we end up waiting until November 16th to find out who the next POTUS is... #OhioProvisionalBallot http://t.co/VYsdhBFF
neutral,"Yo, yo, yo. Raise your hand if you're going to Mass tomorrow! #HolyDay #GettingUpAt7"
positive,"@SaraRosinsky Hey come to Tallahassee Saturday. Good, it's decided then."
neutral,Saturday nite/Sun morning is end of Daylight Savings. FALL BACK. *if you thought it was dark in the morning before......
positive,Act of Valor may have just become one of the best movies I've ever seen
positive,Oxygen &amp; VH1 get the MOST ratings on Monday nights. . . Lol we aint playing no games I cant wait till tonight
neutral,"The regular-season opener Thursday between the Brooklyn Nets and the New York Knicks, wh... http://t.co/kvPXXch4 :: http://t.co/ZxIgzMCV"
positive,@zachbernard I don't see C. Edwards doing anything but racing hard on Thurs in Duels on @Speed I'm sure he will be smart though!
positive,USA+Canada Tour starts today!!! Super pumped! Greensboro NC kicks it off tonight! Tomorrow Asheville then ATL on sunday!
neutral,#inappropriatefuneralsongs Thriller by michael jackson. while the dancing may be great having to kill your zombie grandma wont be as great
neutral,Bowling comes to Downtown Disney! Splitsville is scheduled to open in December. Check out how the construction... http://t.co/5ETzbLPS
positive,@MarinaHarss great read for a rainy Sat am. I always have mixed feelings about In the Upper Room. Ratmansky sounds interesting. Thank you.
negative,@HarryRockedMe hey nigga genevieve cant go shes going to cali and ill talk to maite tomorrow bc she wasnt at skool today
negative,Oh my god everyone please stop talking about the Steelers tonight. We are not playing. We are irrelevant tonight.
positive,@1andOnlyWalshy 2nd goal Barcelona would be proud of. Cleverly isnt the future he's the present. Sneijder coming soon... RT please :)
neutral,I wanted to say that to you on saturday but since you want me to say it to you now... I\u2019ll say...
neutral,"@RonanJones95 i may be going to see England vs Aus at Twickers, #oooosh"
negative,Just watched the whole 2nd season of Breakout Kings only to find out they canceled the fucking show -.-
neutral,"Anderson Cooper and Kristin Chenoweth on His Coming Out: Anderson Live premiered Monday, with Kristi... http://t.co/ShOnXlDa #gay, #lgbt"
neutral,Ã mean it\u2019s confirmed... I tot they juz say oni... Ok then...
neutral,@puckchk did i read the barons schedule right when it said we play the dallas stars at home on sunday?
neutral,Ligue 1: Nadal watches as PSG go top: Paris St Germain went to the top of Ligue 1 on Saturday after a Kevin Game... http://t.co/HkCIlZrW
positive,"Studio tomorrow, all I can think about. Chillin with homies and working on new music"
positive,@JordyGenevieve hahaha shut up Cupid! Yeah hopefully it does go good and Saturday and every other day!
neutral,"@like_the_song I first heard them when ""Farewell to the Fairground"" was their single, whenever that was. I think they have a 2nd album now"
negative,"@__Aniko you think mr.Calle let practice with you guys ,cause I don't have practice tomorrow ??.."
neutral,Today is National Bratwurst Day. Also another Recall Election day in Wisconsin. GET OUT THE BRAT! I mean VOTE! #WI #holiday #vote
neutral,@DJkoldstone we have a request to play Girls Gone Wild at the party tomorrow!
neutral,what bus can i take. Or shld i take mrt ?
neutral,Australia Test and ODI captain Michael Clarke at the launch of the international season in Sydney on Monday  http://t.co/g9gbgOhi
positive,Long Princeton (and Diggy)  #imagine : Happy Valentine's day (yn)...  February 14  It's been 9 m http://t.co/0S4VVpy2 via @Nounouche10
positive,True Blood tonight! Always the best night of the week.
neutral,"Last Saturday, your PHBmates in Cebu, all performed some of Britney's Hits! Basing on this picture, you'll have... http://t.co/55SKckym"
neutral,"Hmm.. Sby deh. RT @tujukutu: Kung Fu Panda 2 (in 2D & 3D, both with Indonesian subtitles) tentatively scheduled to open on Tues 16 August"
neutral,I stay up til 6:30 every morning just to watch Between the Lions.
positive,This Saturday &amp; Sunday come join us the @BlendArtists at the Pomona Fairplex! Your ticket can WIN you a Brand New Car! http://t.co/5N7djEyH
positive,Space and @BarbicanCentre were the Place tonight. The Sun Ra Arkestra was brilliant.  @ Barbican Centre http://t.co/hxhooS9O
positive,We're excited for TRUNK OR TREAT tomorrow (Nov 2) night at the Boys and Girls Club in Pottstown. It will start at... http://t.co/63Gffmd5
positive,"Anyways , i am excited to see me some jack dav :9"
positive,"#7ThingsAboutMyBestfriend she is treating me to cookout tomorrow, first thing when I get to jacksonville.  @Scorpio_lovinn"
negative,@BradGagnon That would kill me...I'm going to go live in Siberia so I don't get hives every time the sun comes out..
positive,the fact that we are going to be Sophia grace and rosie at the studio on tuesday makes me soo happy! @cristinarotondo #accents #cuties
negative,@vanessacaterina damn I don't wanna get on my computer. Tomorrow :( my Harry feels are out of control and the outtakes video broke me
positive,Dallas!!! Are you ready to come have a great night with us?! We can't wait to blow the roof off with you!
neutral,come Novemember thru January dont open your mouth about NFL
negative,"@702JohnRobbie , I don't feel the Rugby World Cup fever via 702, am I the only one? Isn't it Rugby Friday?"
negative,"@ChristPA Best friend just arrived in NYC from Australia. Damn it, means I can't watch the two-hour opener of Terra Nova tonight."
neutral,she\u2019ll pass to me when she comes by\u002c most likely within these few days
positive,At least my DS could be justified with more awesome games .
positive,"excitement for liverpool john moores next saturday, only going in search for males with Liverpudlian accents"
positive,@NEstaCKs it will be good for hoop so get ready dec .25 u kno we will c LAKERS vs Heat
neutral,"I'm going to Soundwave Festival at Olympic Park in Sydney, Australia - Feb 24"
neutral,#Trayvon My daily tweet (9/15) in memory of Trayvon Martin- killed 203 days ago. ~May you Rest in Peace~ (Keep family in your prayers -Love)
neutral,Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle...
neutral,Finished season 3 of the league and am now finally watching Act Of Valor. Operation lazy Saturday night nearing completion.
neutral,"Starkville, MS! Coming at you tomorrow night to rage at Ricks Cafe and we've got a pair of tickets to give away.... http://t.co/dHF4emkZ"
positive,@peckbros just sat in with King Cake. Fun times!
neutral,"Oh yea, we heard bout y'all Senior Skip Day Friday... We ain't report it cause y'all ain't play nobody but Brookwood."
positive,The 1st Black woman to ever host the Academy Awards was=&gt;@WhoopiGoldberg! I want to be like her! #BlackHistoryMoment
neutral,Starred entries are re-reads .
neutral,"@iheardavoicesay is finally catching up to me with #Dexter. I'm only up to season 4, but he has almost finished season 2 today @ home, ill."
neutral,Looks like I'm going to Bolder tomorrow.
neutral,@rrrrrrroline I got a call from bcc saying the college is open but Christian texted my dad saying BCA doesnt have school tomorrow
positive,Another heated game tonight between NSC Minnesota and FC Tampa Bay. be sure to make your predictions! Week 23 is already up.
neutral,Miami going into MSG tomorrow night and gonna embarrass the Knicks
positive,An exciting day tomorrow @punchestownrace Oscars Well making his chase debut and Operating first time out over hurdles!! #fingerscrossed
positive,Watched 'Gandhi' with Gaurika today. Was so nice answering her 100 questions. We should have some new age patriotic movies though...
positive,thanks a lot. i will rate you when i get home later.
positive,I might act like tomorrow Valentine day and pamper my gf maybe then she'll feel better
neutral,"So it's the grunge night at blue room blackpool tomorrow night! Pearl jam, Alice in chains and nirvana cover bands! 9pm."
positive,Like Larry Bird in the Ole' 3PT Contest... Tonight at the Alfred E. Smith dinner #Romney went 1st and absolutely crushed it. #ObamaFailed
negative,I want to be on this show so bad .
neutral,"I'm going to Nekromantix at El Plaza Condesa in Mexico City, Mexico - Sep 1 http://t.co/GjYfcdw4"
neutral,@YoungDriver92 1st George Clooney 2nd Joseph Gordon (older and younger ) Winky face with a capital D
positive,!!!!!!!! RT @FaithGroves744: It's definitely going to be a good week when the Broncos make it to the Super Bowl..... #barf #monday
neutral,Norqway in Banff opens tomorrow Mother Nature rules in the Canadian Rockies
negative,Huh!? Aiyah i tot can earn some money... now no money liao. Nvm then thanks anyway.
neutral,So Kendrick Lamar 1st week projected sales iz 242k. That's wassup for an artist different from the norm to do those kind of numbers.
neutral,"Pierce the veilRT @FaZachary: Miss may iRT @abityab: Lagu demen Bullet for my Valentine, hbu ??"
