id,polarity
234,negative
235,negative
236,positive
237,positive
238,positive
239,positive
240,negative
241,negative
242,negative
243,negative
244,negative
245,positive
246,negative
247,positive
248,positive
249,negative
250,negative
251,negative
252,negative
253,positive
254,positive
255,negative
256,positive
257,negative
258,negative
259,negative
260,negative
261,negative
262,positive
263,positive
264,positive
265,positive
266,negative
267,negative
268,negative
269,positive
270,negative
271,negative
272,positive
273,negative
274,positive
275,negative
276,negative
277,positive
278,positive
279,positive
280,negative
281,positive
282,positive
283,negative
284,negative
285,negative
286,negative
287,negative
288,negative
289,negative
290,negative
291,positive
292,negative
293,positive
294,negative
295,negative
296,positive
297,positive
298,negative
299,positive
300,negative
301,positive
302,negative
303,negative
304,positive
305,positive
306,neutral
307,negative
308,positive
309,negative
310,negative
311,negative
312,negative
313,positive
314,negative
315,positive
316,negative
317,negative
318,negative
319,negative
320,negative
321,negative
322,negative
323,negative
324,negative
325,negative
326,negative
327,negative
328,positive
329,negative
330,negative
331,positive
332,positive
333,positive
334,positive
335,negative
336,positive
337,positive
338,positive
339,negative
340,positive
341,negative
342,negative
343,negative
344,positive
345,negative
346,negative
347,positive
348,negative
349,negative
350,negative
351,positive
352,positive
353,negative
354,negative
355,positive
356,positive
357,negative
358,positive
359,negative
360,positive
361,positive
362,positive
363,negative
364,positive
365,positive
366,negative
367,positive
368,positive
369,negative
370,positive
371,negative
372,positive
373,negative
374,negative
375,positive
376,negative
377,negative
378,negative
379,negative
380,positive
381,negative
382,negative
383,negative
384,negative
385,negative
386,negative
387,positive
388,negative
389,negative
390,negative
391,negative
392,positive
393,negative
394,negative
395,negative
396,negative
397,negative
398,negative
399,negative
400,negative
401,negative
402,negative
403,negative
404,positive
405,positive
406,negative
407,negative
408,negative
409,negative
410,negative
411,positive
412,negative
413,positive
414,negative
415,negative
416,negative
417,negative
418,negative
419,negative
420,negative
421,positive
422,negative
423,negative
424,negative
425,positive
426,negative
427,positive
428,positive
429,positive
430,positive
431,negative
432,positive
433,negative
434,negative
435,negative
436,negative
437,negative
438,negative
439,negative
440,positive
441,negative
442,positive
443,positive
444,negative
445,negative
446,negative
447,positive
448,negative
449,positive
450,negative
451,negative
452,positive
453,negative
454,negative
455,negative
456,negative
457,positive
458,positive
459,negative
460,negative
461,positive
462,negative
463,positive
464,positive
465,positive
466,negative
467,negative
468,positive
469,negative
470,positive
471,negative
472,negative
473,negative
474,positive
475,negative
476,positive
477,negative
478,positive
479,positive
480,positive
481,negative
482,negative
483,negative
484,negative
485,negative
486,negative
487,negative
488,positive
489,negative
490,negative
491,positive
492,positive
493,positive
494,positive
495,negative
496,negative
497,positive
498,negative
499,positive
500,positive
501,negative
502,negative
503,negative
504,positive
505,negative
506,negative
507,negative
508,negative
509,positive
510,negative
511,positive
512,negative
513,negative
514,negative
515,positive
516,positive
517,negative
518,positive
519,negative
520,negative
521,negative
522,negative
523,negative
524,positive
525,negative
526,positive
527,negative
528,negative
529,negative
530,negative
531,positive
532,positive
533,negative
534,negative
535,positive
536,negative
537,negative
538,negative
539,positive
540,positive
541,negative
542,negative
543,positive
544,positive
545,negative
546,negative
547,negative
548,positive
549,negative
550,positive
551,positive
552,positive
553,negative
554,positive
555,negative
556,negative
557,negative
558,positive
559,positive
560,negative
561,negative
562,positive
563,negative
564,positive
565,negative
566,positive
567,negative
568,positive
569,positive
570,negative
571,negative
572,positive
573,negative
574,negative
575,negative
576,negative
577,negative
578,positive
579,negative
580,negative
581,positive
582,positive
583,negative
584,positive
585,negative
586,negative
587,negative
588,negative
589,positive
590,negative
591,negative
592,negative
593,negative
594,negative
595,negative
596,positive
597,negative
598,positive
599,negative
600,positive
601,negative
602,negative
603,negative
604,positive
605,positive
606,negative
607,negative
608,negative
609,negative
610,negative
611,positive
612,negative
613,negative
614,negative
615,negative
616,negative
617,negative
618,negative
619,positive
620,negative
621,negative
622,positive
623,negative
624,negative
625,negative
626,negative
627,negative
628,positive
629,positive
630,positive
631,negative
632,positive
633,negative
634,positive
635,negative
636,negative
637,negative
638,negative
639,positive
640,positive
641,negative
642,positive
643,negative
644,negative
645,negative
646,negative
647,negative
648,positive
649,positive
650,negative
651,positive
652,negative
653,negative
654,positive
655,positive
656,positive
657,positive
658,positive
659,negative
660,negative
661,negative
662,positive
663,positive
664,negative
665,negative
666,negative
667,positive
668,positive
669,negative
670,positive
671,negative
672,negative
673,positive
674,negative
675,negative
676,negative
677,positive
678,positive
679,negative
680,negative
681,negative
682,negative
683,negative
684,negative
685,positive
686,positive
687,negative
688,negative
689,negative
690,positive
691,negative
692,negative
693,negative
694,negative
695,positive
696,negative
697,positive
698,positive
699,negative
700,positive
701,negative
702,negative
703,positive
704,positive
705,positive
706,positive
707,negative
708,negative
709,negative
710,negative
711,negative
712,negative
713,negative
714,negative
715,negative
716,positive
717,positive
718,negative
719,negative
720,positive
721,positive
722,negative
723,positive
724,positive
725,negative
726,negative
727,negative
728,positive
729,positive
730,negative
731,positive
732,negative
733,negative
734,negative
735,negative
736,positive
737,negative
738,negative
739,negative
740,positive
741,positive
742,negative
743,negative
744,negative
745,negative
746,positive
747,positive
748,negative
749,positive
750,negative
751,negative
752,negative
753,negative
754,positive
755,negative
756,positive
757,positive
758,negative
759,negative
760,negative
761,positive
762,negative
763,positive
764,negative
765,positive
766,positive
767,positive
768,negative
769,negative
770,positive
771,negative
772,negative
773,positive
774,negative
775,negative
776,positive
777,negative
778,positive
779,positive
780,negative
781,negative
782,positive
783,positive
784,negative
785,negative
786,positive
787,negative
788,negative
789,negative
790,negative
791,negative
792,positive
793,negative
794,negative
795,positive
796,positive
797,positive
798,positive
799,positive
800,positive
801,negative
802,positive
803,positive
804,negative
805,positive
806,positive
807,positive
808,negative
809,negative
810,positive
811,positive
812,negative
813,negative
814,positive
815,negative
816,negative
817,negative
818,negative
819,positive
820,negative
821,positive
822,positive
823,negative
824,positive
825,negative
826,positive
827,negative
828,positive
829,positive
830,negative
831,negative
832,positive
833,positive
834,negative
835,negative
836,negative
837,positive
838,negative
839,positive
840,negative
841,negative
842,positive
843,negative
844,positive
845,negative
846,negative
847,negative
848,negative
849,negative
850,negative
851,positive
852,positive
853,negative
854,negative
855,negative
856,negative
857,negative
858,positive
859,positive
860,negative
861,positive
862,negative
863,positive
864,negative
865,negative
866,negative
867,positive
868,positive
869,positive
870,negative
871,positive
872,positive
873,negative
874,negative
875,negative
876,negative
877,negative
878,negative
879,positive
880,positive
881,negative
882,negative
883,negative
884,negative
885,negative
886,negative
887,negative
888,positive
889,negative
890,negative
891,negative
892,negative
893,positive
894,negative
895,positive
896,negative
897,positive
898,negative
899,positive
900,positive
901,negative
902,negative
903,negative
904,negative
905,negative
906,negative
907,negative
908,positive
909,positive
910,positive
911,negative
912,positive
913,positive
914,positive
915,positive
916,negative
917,negative
918,negative
919,negative
920,negative
921,positive
922,negative
923,negative
924,negative
925,negative
926,positive
927,positive
928,negative
929,negative
930,negative
931,negative
932,positive
933,negative
934,positive
935,positive
936,negative
937,negative
938,negative
939,negative
940,positive
941,negative
942,negative
943,positive
944,positive
945,positive
946,negative
947,negative
948,negative
949,negative
950,negative
951,negative
952,positive
953,negative
954,negative
955,negative
956,negative
957,negative
958,positive
959,negative
960,negative
961,negative
962,positive
963,positive
964,positive
965,positive
966,positive
967,negative
968,positive
969,positive
970,negative
971,negative
972,positive
973,negative
974,negative
975,positive
976,negative
977,positive
978,positive
979,negative
980,positive
981,negative
982,positive
983,negative
984,negative
985,positive
986,negative
987,negative
988,positive
989,negative
990,negative
991,negative
992,negative
993,negative
994,negative
995,positive
996,negative
997,positive
998,positive
999,negative
1000,negative
1001,positive
1002,positive
1003,negative
1004,negative
1005,negative
1006,negative
1007,negative
1008,negative
1009,negative
1010,positive
1011,negative
1012,positive
1013,negative
1014,negative
1015,negative
1016,positive
1017,negative
1018,negative
1019,negative
1020,negative
1021,negative
1022,negative
1023,negative
1024,negative
1025,positive
1026,negative
1027,positive
1028,negative
1029,positive
1030,positive
1031,positive
1032,positive
1033,negative
1034,positive
1035,positive
1036,positive
1037,positive
1038,negative
1039,negative
1040,positive
1041,positive
1042,negative
1043,negative
1044,positive
1045,negative
1046,positive
1047,negative
1048,negative
1049,positive
1050,positive
1051,positive
1052,negative
1053,positive
1054,negative
1055,negative
1056,negative
1057,positive
1058,positive
1059,negative
1060,positive
1061,positive
1062,positive
1063,positive
1064,negative
1065,positive
1066,negative
1067,positive
1068,negative
1069,positive
1070,negative
1071,negative
1072,negative
1073,negative
1074,positive
1075,negative
1076,negative
1077,negative
1078,positive
1079,positive
1080,negative
1081,negative
1082,positive
1083,negative
1084,negative
1085,negative
1086,positive
1087,positive
1088,negative
1089,negative
1090,positive
1091,negative
1092,negative
1093,negative
1094,positive
1095,positive
1096,negative
1097,negative
1098,positive
1099,negative
1100,positive
1101,positive
1102,negative
1103,negative
1104,positive
1105,positive
1106,negative
1107,negative
1108,positive
1109,negative
1110,negative
1111,negative
1112,positive
1113,positive
1114,negative
1115,negative
1116,negative
1117,negative
1118,positive
1119,negative
1120,positive
1121,positive
1122,negative
1123,negative
1124,positive
1125,negative
1126,positive
1127,negative
1128,negative
1129,positive
1130,positive
1131,negative
1132,negative
1133,positive
1134,negative
1135,negative
1136,positive
1137,negative
1138,positive
1139,positive
1140,negative
1141,positive
1142,negative
1143,positive
1144,negative
1145,negative
1146,positive
1147,negative
1148,positive
1149,positive
1150,positive
1151,negative
1152,negative
1153,positive
1154,negative
1155,negative
1156,negative
1157,positive
1158,positive
1159,negative
1160,positive
1161,negative
1162,negative
1163,negative
1164,negative
1165,negative
1166,negative
1167,negative
1168,negative
1169,negative
1170,negative
1171,positive
1172,negative
1173,negative
1174,positive
1175,positive
1176,positive
1177,negative
1178,negative
1179,negative
1180,negative
1181,negative
1182,negative
1183,positive
1184,negative
1185,positive
1186,positive
1187,positive
1188,negative
1189,negative
1190,negative
1191,negative
1192,positive
1193,positive
1194,negative
1195,negative
1196,neutral
1197,positive
1198,negative
1199,negative
1200,negative
1201,negative
1202,positive
1203,positive
1204,negative
1205,negative
1206,positive
1207,positive
1208,negative
1209,positive
1210,positive
1211,negative
1212,negative
1213,negative
1214,positive
1215,negative
1216,positive
1217,negative
1218,negative
1219,negative
1220,positive
1221,positive
1222,positive
1223,negative
1224,negative
1225,negative
1226,positive
1227,positive
1228,negative
1229,positive
1230,negative
1231,negative
1232,negative
1233,positive
1234,positive
1235,negative
1236,positive
1237,positive
1238,positive
1239,negative
1240,positive
1241,negative
1242,negative
1243,negative
1244,negative
1245,negative
1246,negative
1247,negative
1248,negative
1249,positive
1250,positive
1251,negative
1252,positive
1253,positive
1254,positive
1255,positive
1256,positive
1257,negative
1258,negative
1259,negative
1260,negative
1261,negative
1262,negative
1263,negative
1264,negative
1265,negative
1266,negative
1267,positive
1268,positive
1269,negative
1270,positive
1271,positive
1272,negative
1273,negative
1274,positive
1275,negative
1276,negative
1277,negative
1278,negative
1279,positive
1280,negative
1281,negative
1282,positive
1283,negative
1284,negative
1285,negative
1286,negative
1287,positive
1288,positive
1289,positive
1290,negative
1291,negative
1292,negative
1293,negative
1294,positive
1295,positive
1296,negative
1297,positive
1298,positive
1299,negative
1300,positive
1301,positive
1302,positive
1303,negative
1304,negative
1305,negative
1306,negative
1307,negative
1308,positive
1309,negative
1310,negative
1311,negative
1312,positive
1313,positive
1314,negative
1315,positive
1316,positive
1317,positive
1318,positive
1319,negative
1320,positive
1321,negative
1322,positive
1323,negative
1324,negative
1325,positive
1326,negative
1327,positive
1328,positive
1329,positive
1330,negative
1331,negative
1332,positive
1333,negative
1334,negative
1335,negative
1336,negative
1337,positive
1338,positive
1339,negative
1340,positive
1341,negative
1342,positive
1343,negative
1344,negative
1345,positive
1346,negative
1347,negative
1348,negative
1349,positive
1350,negative
1351,negative
1352,negative
1353,positive
1354,positive
1355,positive
1356,positive
1357,positive
1358,negative
1359,positive
1360,positive
1361,neutral
1362,negative
1363,negative
1364,negative
1365,negative
1366,positive
1367,negative
1368,negative
1369,negative
1370,positive
1371,positive
1372,negative
1373,negative
1374,negative
1375,negative
1376,positive
1377,negative
1378,negative
1379,negative
1380,negative
1381,negative
1382,negative
1383,negative
1384,negative
1385,negative
1386,positive
1387,negative
1388,negative
1389,negative
1390,positive
1391,negative
1392,negative
1393,negative
1394,positive
1395,negative
1396,positive
1397,negative
1398,negative
1399,positive
1400,positive
1401,negative
1402,neutral
1403,negative
1404,negative
1405,negative
1406,positive
1407,positive
1408,positive
1409,negative
1410,negative
1411,positive
1412,positive
1413,negative
1414,positive
1415,negative
1416,negative
1417,negative
1418,positive
1419,negative
1420,positive
1421,negative
1422,negative
1423,negative
1424,positive
1425,positive
1426,positive
1427,negative
1428,negative
1429,positive
1430,negative
1431,negative
1432,negative
1433,positive
1434,positive
1435,negative
1436,negative
1437,negative
1438,positive
1439,negative
1440,negative
1441,negative
1442,negative
1443,positive
1444,negative
1445,negative
1446,positive
1447,negative
1448,negative
1449,negative
1450,positive
1451,positive
1452,positive
1453,negative
1454,negative
1455,negative
1456,negative
1457,negative
1458,negative
1459,positive
1460,negative
1461,negative
1462,negative
1463,negative
1464,negative
1465,negative
1466,positive
1467,negative
1468,positive
1469,negative
1470,negative
1471,positive
1472,negative
1473,negative
1474,negative
1475,negative
1476,negative
1477,positive
1478,negative
1479,positive
1480,negative
1481,positive
1482,positive
1483,positive
1484,negative
1485,positive
1486,negative
1487,positive
1488,negative
1489,positive
1490,negative
1491,positive
1492,negative
1493,negative
1494,negative
1495,negative
1496,negative
1497,positive
1498,negative
1499,negative
1500,negative
1501,negative
1502,negative
1503,positive
1504,negative
1505,negative
1506,positive
1507,negative
1508,positive
1509,negative
1510,negative
1511,negative
1512,negative
1513,negative
1514,negative
1515,positive
1516,negative
1517,negative
1518,positive
1519,positive
1520,positive
1521,positive
1522,positive
1523,positive
1524,negative
1525,negative
1526,negative
1527,positive
1528,positive
1529,positive
1530,negative
1531,positive
1532,positive
1533,negative
1534,positive
1535,negative
1536,negative
1537,negative
1538,negative
1539,negative
1540,negative
1541,positive
1542,positive
1543,positive
1544,negative
1545,negative
1546,negative
1547,positive
1548,positive
1549,positive
1550,positive
1551,negative
1552,negative
1553,negative
1554,negative
1555,negative
1556,positive
1557,positive
1558,negative
1559,negative
1560,negative
1561,negative
1562,positive
1563,negative
1564,positive
1565,negative
1566,positive
1567,positive
1568,negative
1569,negative
1570,positive
1571,negative
1572,negative
1573,positive
1574,positive
1575,positive
1576,negative
1577,negative
1578,positive
1579,positive
1580,negative
1581,negative
1582,negative
1583,negative
1584,negative
1585,positive
1586,negative
1587,positive
1588,negative
1589,negative
1590,positive
1591,negative
1592,positive
1593,negative
1594,negative
1595,negative
1596,negative
1597,negative
1598,negative
1599,positive
1600,negative
1601,negative
1602,negative
1603,negative
1604,negative
1605,negative
1606,negative
1607,negative
1608,negative
1609,positive
1610,negative
1611,negative
1612,positive
1613,positive
1614,positive
1615,negative
1616,positive
1617,negative
1618,negative
1619,negative
1620,positive
1621,positive
1622,positive
1623,positive
1624,positive
1625,negative
1626,positive
1627,negative
1628,negative
1629,negative
1630,positive
1631,negative
1632,negative
1633,negative
1634,negative
1635,positive
1636,negative
1637,negative
1638,positive
1639,positive
1640,positive
1641,negative
1642,negative
1643,negative
1644,positive
1645,negative
1646,positive
1647,positive
1648,negative
1649,positive
1650,positive
1651,negative
1652,positive
1653,positive
1654,negative
1655,negative
1656,negative
1657,positive
1658,negative
1659,positive
1660,positive
1661,positive
1662,negative
1663,positive
1664,negative
1665,positive
1666,negative
1667,negative
1668,negative
1669,negative
1670,positive
1671,positive
1672,negative
1673,negative
1674,positive
1675,negative
1676,positive
1677,negative
1678,negative
1679,negative
1680,negative
1681,negative
1682,negative
1683,positive
1684,negative
1685,negative
1686,negative
1687,positive
1688,positive
1689,positive
1690,negative
1691,negative
1692,negative
1693,positive
1694,negative
1695,negative
1696,positive
1697,positive
1698,positive
1699,negative
1700,negative
1701,positive
1702,negative
1703,positive
1704,negative
1705,positive
1706,negative
1707,negative
1708,negative
1709,positive
1710,negative
1711,negative
1712,positive
1713,positive
1714,negative
1715,positive
1716,positive
1717,negative
1718,negative
1719,negative
1720,positive
1721,negative
1722,positive
1723,positive
1724,positive
1725,negative
1726,positive
1727,positive
1728,negative
1729,negative
1730,positive
1731,negative
1732,negative
1733,negative
1734,negative
1735,negative
1736,positive
1737,positive
1738,negative
1739,positive
1740,positive
1741,negative
1742,negative
1743,negative
1744,negative
1745,negative
1746,positive
1747,negative
1748,negative
1749,negative
1750,negative
1751,negative
1752,negative
1753,positive
1754,positive
1755,negative
1756,negative
1757,negative
1758,negative
1759,positive
1760,negative
1761,positive
1762,positive
1763,positive
1764,negative
1765,negative
1766,negative
1767,negative
1768,negative
1769,negative
1770,positive
1771,positive
1772,negative
1773,negative
1774,positive
1775,negative
1776,positive
1777,positive
1778,negative
1779,positive
1780,negative
1781,positive
1782,positive
1783,negative
1784,positive
1785,positive
1786,positive
1787,negative
1788,negative
1789,positive
1790,negative
1791,positive
1792,positive
1793,negative
1794,positive
1795,negative
1796,negative
1797,negative
1798,negative
1799,negative
1800,negative
1801,negative
1802,positive
1803,positive
1804,negative
1805,negative
1806,negative
1807,negative
1808,negative
1809,negative
1810,negative
1811,negative
1812,negative
1813,positive
1814,negative
1815,positive
1816,positive
1817,positive
1818,negative
1819,negative
1820,positive
1821,negative
1822,positive
1823,negative
1824,negative
1825,negative
1826,positive
1827,positive
1828,positive
1829,negative
1830,negative
1831,positive
1832,negative
1833,negative
1834,negative
1835,negative
1836,negative
1837,positive
1838,negative
1839,negative
1840,positive
1841,negative
1842,negative
1843,negative
1844,positive
1845,positive
1846,negative
1847,positive
1848,positive
1849,negative
1850,negative
1851,negative
1852,negative
1853,positive
1854,negative
1855,negative
1856,negative
1857,positive
1858,positive
1859,negative
1860,positive
1861,positive
1862,positive
1863,negative
1864,negative
1865,positive
1866,positive
1867,negative
1868,positive
1869,negative
1870,negative
1871,positive
1872,negative
1873,positive
1874,negative
1875,negative
1876,positive
1877,negative
1878,positive
1879,negative
1880,negative
1881,negative
1882,negative
1883,negative
1884,negative
1885,negative
1886,positive
1887,positive
1888,positive
1889,negative
1890,positive
1891,negative
1892,negative
1893,positive
1894,positive
1895,negative
1896,negative
1897,positive
1898,positive
1899,negative
1900,negative
1901,positive
1902,positive
1903,positive
1904,negative
1905,negative
1906,positive
1907,positive
1908,positive
1909,negative
1910,negative
1911,negative
1912,positive
1913,negative
1914,positive
1915,negative
1916,positive
1917,positive
1918,negative
1919,negative
1920,negative
1921,negative
1922,negative
1923,negative
1924,positive
1925,negative
1926,negative
1927,negative
1928,negative
1929,positive
1930,negative
1931,negative
1932,negative
1933,positive
1934,negative
1935,negative
1936,negative
1937,negative
1938,negative
1939,positive
1940,negative
1941,negative
1942,negative
1943,negative
1944,positive
1945,positive
1946,negative
1947,negative
1948,positive
1949,positive
1950,positive
1951,negative
1952,negative
1953,positive
1954,positive
1955,positive
1956,negative
1957,positive
1958,positive
1959,negative
1960,negative
1961,negative
1962,negative
1963,negative
1964,positive
1965,positive
1966,positive
1967,positive
1968,negative
1969,positive
1970,positive
1971,positive
1972,positive
1973,negative
1974,negative
1975,negative
1976,negative
1977,negative
1978,negative
1979,negative
1980,negative
1981,negative
1982,positive
1983,negative
1984,positive
1985,positive
1986,positive
1987,positive
1988,negative
1989,negative
1990,positive
1991,negative
1992,negative
1993,negative
1994,positive
1995,positive
1996,negative
1997,positive
1998,negative
1999,negative
2000,positive
2001,positive
2002,negative
2003,negative
2004,negative
2005,negative
2006,negative
2007,negative
2008,positive
2009,negative
2010,negative
2011,negative
2012,negative
2013,negative
2014,positive
2015,negative
2016,negative
2017,negative
2018,positive
2019,positive
2020,positive
2021,negative
2022,positive
2023,negative
2024,negative
2025,positive
2026,positive
2027,negative
2028,positive
2029,negative
2030,positive
2031,positive
2032,negative
2033,positive
2034,negative
2035,negative
2036,positive
2037,negative
2038,positive
2039,negative
2040,positive
2041,negative
2042,negative
2043,positive
2044,negative
2045,positive
2046,negative
2047,negative
2048,positive
2049,positive
2050,negative
2051,positive
2052,negative
2053,negative
2054,negative
2055,positive
2056,negative
2057,positive
2058,positive
2059,positive
2060,positive
2061,negative
2062,negative
2063,positive
2064,positive
2065,negative
2066,positive
2067,positive
2068,positive
2069,negative
2070,negative
2071,negative
2072,positive
2073,positive
2074,positive
2075,negative
2076,positive
2077,positive
2078,positive
2079,positive
2080,negative
2081,positive
2082,positive
2083,negative
2084,negative
2085,positive
2086,negative
2087,negative
2088,negative
2089,negative
2090,negative
2091,positive
2092,negative
2093,negative
2094,negative
2095,negative
2096,negative
2097,negative
2098,negative
2099,negative
2100,negative
2101,negative
2102,negative
2103,negative
2104,positive
2105,negative
2106,negative
2107,positive
2108,positive
2109,negative
2110,positive
2111,positive
2112,negative
2113,negative
2114,negative
2115,negative
2116,positive
2117,negative
2118,positive
2119,positive
2120,negative
2121,negative
2122,positive
2123,negative
2124,negative
2125,negative
2126,negative
2127,negative
2128,positive
2129,negative
2130,positive
2131,negative
2132,negative
2133,negative
2134,positive
2135,negative
2136,negative
2137,negative
2138,negative
2139,positive
2140,negative
2141,positive
2142,positive
2143,positive
2144,positive
2145,negative
2146,negative
2147,negative
2148,negative
2149,negative
2150,positive
2151,positive
2152,positive
2153,positive
2154,positive
2155,negative
2156,positive
2157,positive
2158,positive
2159,positive
2160,negative
2161,negative
2162,negative
2163,negative
2164,positive
2165,positive
2166,negative
2167,positive
2168,negative
2169,negative
2170,negative
2171,positive
2172,negative
2173,negative
2174,positive
2175,negative
2176,negative
2177,positive
2178,positive
2179,negative
2180,negative
2181,positive
2182,negative
2183,positive
2184,positive
2185,positive
2186,negative
2187,negative
2188,negative
2189,positive
2190,positive
2191,positive
2192,negative
2193,negative
2194,positive
2195,positive
2196,negative
2197,positive
2198,negative
2199,positive
2200,negative
2201,positive
2202,positive
2203,negative
2204,positive
2205,negative
2206,positive
2207,negative
2208,negative
2209,negative
2210,positive
2211,negative
2212,negative
2213,positive
2214,negative
2215,positive
2216,positive
2217,positive
2218,negative
2219,positive
2220,negative
2221,negative
2222,positive
2223,positive
2224,positive
2225,positive
2226,negative
2227,positive
2228,negative
2229,negative
2230,negative
2231,positive
2232,positive
2233,negative
2234,positive
2235,positive
2236,negative
2237,negative
2238,positive
2239,negative
2240,positive
2241,negative
2242,negative
2243,negative
2244,positive
2245,positive
2246,negative
2247,negative
2248,negative
2249,positive
2250,positive
2251,negative
2252,positive
2253,negative
2254,negative
2255,negative
2256,negative
2257,negative
2258,negative
2259,negative
2260,negative
2261,negative
2262,positive
2263,positive
2264,negative
2265,negative
2266,negative
2267,positive
2268,negative
2269,positive
2270,negative
2271,negative
2272,negative
2273,negative
2274,negative
2275,negative
2276,negative
2277,negative
2278,positive
2279,negative
2280,negative
2281,negative
2282,negative
2283,positive
2284,positive
2285,positive
2286,positive
2287,negative
2288,negative
2289,positive
2290,negative
2291,positive
2292,positive
2293,positive
2294,positive
2295,negative
2296,negative
2297,positive
2298,negative
2299,negative
2300,positive
2301,negative
2302,positive
2303,negative
2304,positive
2305,negative
2306,negative
2307,negative
2308,positive
2309,negative
2310,negative
2311,negative
2312,negative
2313,negative
2314,negative
2315,negative
2316,negative
2317,negative
2318,positive
2319,positive
2320,positive
2321,negative
2322,negative
2323,negative
2324,negative
2325,negative
2326,negative
2327,negative
2328,negative
2329,negative
2330,positive
2331,negative
2332,positive
2333,negative
2334,negative
2335,positive
2336,positive
2337,negative
2338,positive
2339,positive
2340,positive
2341,negative
2342,positive
2343,negative
2344,negative
2345,positive
2346,positive
2347,negative
2348,positive
2349,negative
2350,positive
2351,negative
2352,negative
2353,negative
2354,negative
2355,negative
2356,negative
2357,negative
2358,positive
2359,negative
2360,positive
2361,positive
2362,negative
2363,negative
2364,negative
2365,positive
2366,positive
2367,negative
2368,negative
2369,negative
2370,positive
2371,positive
2372,positive
2373,negative
2374,negative
2375,positive
2376,positive
2377,negative
2378,negative
2379,negative
2380,negative
2381,negative
2382,negative
2383,positive
2384,negative
2385,negative
2386,negative
2387,negative
2388,negative
2389,positive
2390,negative
2391,positive
2392,positive
2393,positive
2394,negative
2395,negative
2396,positive
2397,negative
2398,negative
2399,positive
2400,negative
2401,negative
2402,negative
2403,positive
2404,negative
2405,positive
2406,negative
2407,negative
2408,positive
2409,positive
2410,positive
2411,positive
2412,negative
2413,negative
2414,positive
2415,positive
2416,positive
2417,positive
2418,positive
2419,negative
2420,negative
2421,negative
2422,positive
2423,negative
2424,positive
2425,negative
2426,negative
2427,positive
2428,positive
2429,positive
2430,negative
2431,positive
2432,negative
2433,positive
2434,negative
2435,negative
2436,positive
2437,negative
2438,positive
2439,negative
2440,negative
2441,negative
2442,negative
2443,positive
2444,negative
2445,negative
2446,positive
2447,negative
2448,negative
2449,positive
2450,positive
2451,negative
2452,negative
2453,positive
2454,positive
2455,positive
2456,negative
2457,negative
2458,negative
2459,positive
2460,negative
2461,positive
2462,positive
2463,positive
2464,negative
2465,negative
2466,negative
2467,positive
2468,negative
2469,positive
2470,positive
2471,negative
2472,positive
2473,negative
2474,positive
2475,positive
2476,negative
2477,positive
2478,negative
2479,negative
2480,negative
2481,positive
2482,positive
2483,negative
2484,negative
2485,positive
2486,positive
2487,positive
2488,negative
2489,negative
2490,negative
2491,negative
2492,negative
2493,positive
2494,positive
2495,negative
2496,negative
2497,positive
